"date","instances"
"2023-03-21","83"
"2023-08-16","81"
"2023-02-18","79"
"2023-03-06","74"
"2023-12-17","74"
"2023-01-25","73"
"2023-10-04","73"
"2023-03-09","73"
"2023-12-29","72"
"2023-01-10","72"
"2023-08-29","72"
"2023-05-20","71"
"2023-02-01","71"
"2023-08-18","70"
"2023-04-21","70"
"2023-10-07","70"
"2023-01-01","70"
"2023-09-25","69"
"2023-12-02","69"
"2023-02-25","69"
"2023-08-09","69"
"2023-09-09","68"
"2023-11-27","68"
"2023-01-18","68"
"2023-01-02","68"
"2023-01-28","68"
"2023-07-04","68"
"2023-10-20","67"
"2023-01-13","67"
"2023-07-20","67"
"2023-06-06","67"
"2023-05-26","67"
"2023-03-11","66"
"2023-04-08","66"
"2023-03-26","66"
"2023-03-03","66"
"2023-09-13","66"
"2023-02-12","66"
"2023-08-23","65"
"2023-07-01","65"
"2023-07-24","65"
"2023-05-17","65"
"2023-02-26","65"
"2023-11-30","65"
"2023-03-19","65"
"2023-02-22","65"
"2023-03-08","65"
"2023-12-30","65"
"2023-07-14","65"
"2023-07-15","64"
"2023-10-18","64"
"2023-03-27","64"
"2023-09-30","64"
"2023-01-21","64"
"2023-02-05","64"
"2023-10-14","64"
"2023-01-17","64"
"2023-04-24","64"
"2023-04-22","64"
"2023-11-28","64"
"2023-12-15","63"
"2023-10-19","63"
"2023-11-18","63"
"2023-01-09","63"
"2023-02-21","63"
"2023-12-21","63"
"2023-04-04","63"
"2023-09-23","63"
"2023-08-11","63"
"2023-05-03","63"
"2023-09-26","63"
"2023-09-07","63"
"2023-11-15","63"
"2023-05-07","63"
"2023-03-05","62"
"2023-09-21","62"
"2023-06-07","62"
"2023-02-02","62"
"2023-09-17","62"
"2023-07-29","62"
"2023-04-28","61"
"2023-12-09","61"
"2023-12-04","61"
"2023-07-06","61"
"2023-04-27","61"
"2023-07-12","61"
"2023-09-12","61"
"2023-06-23","61"
"2023-11-07","61"
"2023-07-26","61"
"2023-11-25","61"
"2023-07-07","61"
"2023-08-21","61"
"2023-12-03","61"
"2023-06-30","61"
"2023-05-22","61"
"2023-01-15","60"
"2023-11-05","60"
"2023-08-26","60"
"2023-01-06","60"
"2023-06-02","60"
"2023-08-19","60"
"2023-07-02","60"
"2023-03-16","60"
"2023-02-14","60"
"2023-06-01","60"
"2023-09-05","60"
"2023-05-12","60"
"2023-10-06","60"
"2023-06-08","59"
"2023-06-10","59"
"2023-09-04","59"
"2023-06-26","59"
"2023-10-27","59"
"2023-05-28","59"
"2023-07-19","59"
"2023-09-02","59"
"2023-05-13","59"
"2023-08-31","59"
"2023-08-01","59"
"2023-08-03","59"
"2023-03-25","59"
"2023-02-11","59"
"2023-12-27","58"
"2023-03-29","58"
"2023-01-04","58"
"2023-07-16","58"
"2023-04-09","58"
"2023-11-26","58"
"2023-04-15","58"
"2023-02-20","58"
"2023-11-08","58"
"2023-07-28","58"
"2023-06-15","58"
"2023-01-23","58"
"2023-12-22","58"
"2023-11-10","57"
"2023-12-13","57"
"2023-10-22","57"
"2023-10-05","57"
"2023-07-11","57"
"2023-10-08","57"
"2023-01-05","57"
"2023-10-31","57"
"2023-09-27","57"
"2023-12-31","56"
"2023-06-25","56"
"2023-01-29","56"
"2023-10-13","56"
"2023-07-31","56"
"2023-09-01","56"
"2023-03-10","56"
"2023-08-30","56"
"2023-02-28","56"
"2023-09-28","56"
"2023-10-26","56"
"2023-05-02","56"
"2023-08-22","56"
"2023-04-17","55"
"2023-05-16","55"
"2023-07-27","55"
"2023-05-01","55"
"2023-03-24","55"
"2023-07-25","55"
"2023-02-09","55"
"2023-06-03","55"
"2023-12-14","55"
"2023-03-15","55"
"2023-08-10","55"
"2023-07-05","55"
"2023-09-03","55"
"2023-04-01","55"
"2023-02-03","55"
"2023-12-23","55"
"2023-03-04","54"
"2023-12-16","54"
"2023-04-29","54"
"2023-03-18","54"
"2023-01-27","54"
"2023-05-15","54"
"2023-01-24","54"
"2023-12-11","54"
"2023-04-10","54"
"2023-04-03","54"
"2023-11-16","54"
"2023-12-24","54"
"2023-08-13","54"
"2023-09-14","54"
"2023-07-10","54"
"2023-01-16","54"
"2023-05-25","54"
"2023-04-12","54"
"2023-01-12","54"
"2023-10-30","54"
"2023-12-07","53"
"2023-06-09","53"
"2023-08-12","53"
"2023-03-12","53"
"2023-10-12","53"
"2023-06-22","53"
"2023-06-24","53"
"2023-11-04","53"
"2023-10-21","53"
"2023-09-16","53"
"2023-12-12","53"
"2023-08-25","53"
"2023-05-06","53"
"2023-05-30","53"
"2023-12-20","53"
"2023-07-17","53"
"2023-09-18","53"
"2023-04-16","53"
"2023-11-24","53"
"2023-08-27","52"
"2023-12-25","52"
"2023-10-03","52"
"2023-11-17","52"
"2023-12-19","52"
"2023-02-07","52"
"2023-12-10","52"
"2023-03-28","52"
"2023-01-30","52"
"2023-02-04","52"
"2023-11-14","52"
"2023-04-11","52"
"2023-07-30","52"
"2023-07-21","51"
"2023-05-04","51"
"2023-02-06","51"
"2023-06-12","51"
"2023-08-24","51"
"2023-11-13","51"
"2023-12-28","51"
"2023-05-27","51"
"2023-06-18","51"
"2023-05-05","51"
"2023-04-14","50"
"2023-01-07","50"
"2023-05-08","50"
"2023-05-21","50"
"2023-01-20","50"
"2023-02-27","50"
"2023-05-31","50"
"2023-04-13","50"
"2023-07-22","50"
"2023-09-24","50"
"2023-06-19","50"
"2023-04-02","50"
"2023-04-25","50"
"2023-03-22","50"
"2023-11-29","50"
"2023-09-19","50"
"2023-07-23","50"
"2023-07-18","50"
"2023-10-02","49"
"2023-10-10","49"
"2023-01-19","49"
"2023-04-07","49"
"2023-03-14","49"
"2023-10-28","49"
"2023-01-22","49"
"2023-06-05","49"
"2023-02-13","49"
"2023-09-22","49"
"2023-03-31","49"
"2023-02-23","49"
"2023-06-21","49"
"2023-11-11","49"
"2023-06-16","49"
"2023-07-03","49"
"2023-09-06","48"
"2023-02-19","48"
"2023-04-18","48"
"2023-07-09","48"
"2023-08-28","48"
"2023-06-29","48"
"2023-04-05","48"
"2023-10-17","48"
"2023-09-08","48"
"2023-10-11","47"
"2023-08-06","47"
"2023-01-26","47"
"2023-08-08","47"
"2023-11-22","47"
"2023-01-31","47"
"2023-01-11","47"
"2023-05-11","47"
"2023-02-17","47"
"2023-11-23","47"
"2023-10-15","47"
"2023-05-23","47"
"2023-01-08","46"
"2023-12-18","46"
"2023-12-26","46"
"2023-06-04","46"
"2023-05-10","46"
"2023-07-13","46"
"2023-12-01","46"
"2023-03-17","46"
"2023-03-20","46"
"2023-04-20","46"
"2023-12-05","46"
"2023-05-19","46"
"2023-05-29","46"
"2023-08-15","45"
"2023-02-16","45"
"2023-09-11","45"
"2023-03-23","45"
"2023-09-20","45"
"2023-04-30","45"
"2023-10-09","45"
"2023-10-23","45"
"2023-04-19","45"
"2023-04-06","45"
"2023-04-23","45"
"2023-02-24","45"
"2023-10-24","44"
"2023-04-26","44"
"2023-02-10","44"
"2023-11-20","44"
"2023-11-09","44"
"2023-06-11","44"
"2023-11-06","44"
"2023-11-03","44"
"2023-07-08","44"
"2023-08-14","43"
"2023-10-25","43"
"2023-12-06","43"
"2023-06-14","43"
"2023-11-21","43"
"2023-03-07","43"
"2023-11-12","43"
"2023-06-28","42"
"2023-08-02","42"
"2023-06-13","42"
"2023-02-15","42"
"2023-06-17","41"
"2023-03-30","41"
"2023-10-01","41"
"2023-11-19","41"
"2023-06-20","41"
"2023-09-29","40"
"2023-08-20","40"
"2023-08-05","40"
"2023-09-15","40"
"2023-03-02","40"
"2023-09-10","39"
"2023-10-29","39"
"2023-11-02","39"
"2023-02-08","38"
"2023-03-01","38"
"2023-03-13","38"
"2023-05-18","38"
"2023-08-07","37"
"2023-11-01","36"
"2023-01-14","36"
"2023-05-14","36"
"2023-05-24","36"
"2023-10-16","36"
"2023-08-04","35"
"2023-12-08","33"
"2023-01-03","33"
"2023-08-17","32"
"2023-05-09","32"
"2023-06-27","31"
