"topic","total_interactions","percentage_of_total"
"already_submitted_application","31941","19.4439709749683452"
"any_other_enquires","26487","16.1238677315671569"
"return_to_main_menu","17538","10.6761955780656472"
"connection_with_agent","14311","8.7117707217298140"
"how_to_check_the_status","10783","6.5641131781435668"
"status_of_ticket_application","10501","6.3924466738092919"
"how_to_complete_or_submit_an_application","10119","6.1599055225479692"
"household_restrictions","5753","3.5021184377130613"
"information_about_ticket_sales","5547","3.3767166650433427"
"payment_methods","3825","2.3284552449595792"
"cancellation_and_resale","3437","2.0922616148826337"
"health_and_safety_measures","3311","2.0155595597545534"
"fan_id","3303","2.0106895880003896"
"legal_documents","3269","1.9899922080451933"
"matches","3223","1.9619898704587513"
"types_of_accessibility_tickets","1284","0.78163046654329404889"
"online_process","1274","0.77554300185058926658"
"the_personal_details","1272","0.77432550891204831012"
"other_information_for_the_process","1253","0.76275932599590922373"
"ticket_application_process","1245","0.75788935424174539788"
"ticket_products","940","0.57222168111424953735"
"ticket_categories","937","0.57039544170643810266"
"ticket_prices","923","0.56187299113665140742"
"sales_phases","904","0.55030680822051232103"
"confirmed_tickets","892","0.54300185058926658225"
